dataset,placement_seed,shift,coverage,snaive7,common_mode,snaive7_recomputed,common_mode_recomputed,max_snaive7_abs_difference,max_common_mode_abs_difference,n_model_cells,n_snaive7_cells,n_all_valid_target_cells,n_lag7_missing_target_cells,n_unmatched_cells,score_support_status,target_indices_sha256,test_indices_sha256,test_days,test_start,test_end
cta,0,no shift,inside,218.74987810823987,160.70907838688996,218.74987810823987,160.70907838688996,0,0,6153,6153,6153,0,0,exact,8af32695298fd444f08bb4b8b2094a48e481f062def8a14f58065a00f6953d45,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
cta,0,no shift,outside,218.74987810823987,160.72905573866325,218.74987810823987,160.72905573866325,0,0,6153,6153,6153,0,0,exact,8af32695298fd444f08bb4b8b2094a48e481f062def8a14f58065a00f6953d45,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
cta,0,regional shift,inside,54.687469527059967,40.17508953765671,54.687469527059967,40.17508953765671,0,0,6153,6153,6153,0,0,exact,8af32695298fd444f08bb4b8b2094a48e481f062def8a14f58065a00f6953d45,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
cta,0,regional shift,outside,54.687469527059967,40.177073933931602,54.687469527059967,40.177073933931602,0,0,6153,6153,6153,0,0,exact,8af32695298fd444f08bb4b8b2094a48e481f062def8a14f58065a00f6953d45,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
cta,1,no shift,inside,219.8454412481716,149.17063584144728,219.84544124817162,149.17063584144728,2.8421709430404007e-14,0,6153,6153,6153,0,0,exact,65dae4d940755cc5194132d3900aa349ea2a857d6fc3953c73819e006c1d08d3,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
cta,1,no shift,outside,219.8454412481716,151.4227503926293,219.84544124817162,151.4227503926293,2.8421709430404007e-14,0,6153,6153,6153,0,0,exact,65dae4d940755cc5194132d3900aa349ea2a857d6fc3953c73819e006c1d08d3,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
cta,1,regional shift,inside,54.961360312042906,37.282268472227017,54.961360312042906,37.282268472227017,0,0,6153,6153,6153,0,0,exact,65dae4d940755cc5194132d3900aa349ea2a857d6fc3953c73819e006c1d08d3,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
cta,1,regional shift,outside,54.961360312042906,37.852099750042619,54.961360312042906,37.852099750042619,0,0,6153,6153,6153,0,0,exact,65dae4d940755cc5194132d3900aa349ea2a857d6fc3953c73819e006c1d08d3,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
cta,2,no shift,inside,265.26036079960994,189.35779661273412,265.26036079960994,189.35779661273415,0,5.6843418860808015e-14,6153,6153,6153,0,0,exact,c0ab7379ad399d610e60425ecfa5faa4585ceecc3474c43e0baad553840694b1,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
cta,2,no shift,outside,265.26036079960994,193.75248786122648,265.26036079960994,193.75248786122648,0,0,6153,6153,6153,0,0,exact,c0ab7379ad399d610e60425ecfa5faa4585ceecc3474c43e0baad553840694b1,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
cta,2,regional shift,inside,66.315090199902485,47.326422185670197,66.315090199902485,47.326422185670197,0,0,6153,6153,6153,0,0,exact,c0ab7379ad399d610e60425ecfa5faa4585ceecc3474c43e0baad553840694b1,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
cta,2,regional shift,outside,66.315090199902485,48.441687939288798,66.315090199902485,48.441687939288798,0,0,6153,6153,6153,0,0,exact,c0ab7379ad399d610e60425ecfa5faa4585ceecc3474c43e0baad553840694b1,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
cta,3,no shift,inside,227.52283438972859,168.17692216383062,227.52283438972859,168.17692216383062,0,0,6153,6153,6153,0,0,exact,23765ac8f23e868b3c1080df56eb09055713209f1731349bbc91a9abac3e0700,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
cta,3,no shift,outside,227.52283438972859,172.98570886341946,227.52283438972859,172.98570886341946,0,0,6153,6153,6153,0,0,exact,23765ac8f23e868b3c1080df56eb09055713209f1731349bbc91a9abac3e0700,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
cta,3,regional shift,inside,56.880708597432147,42.030761411622855,56.880708597432147,42.030761411622855,0,0,6153,6153,6153,0,0,exact,23765ac8f23e868b3c1080df56eb09055713209f1731349bbc91a9abac3e0700,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
