model,metric,contrast,train_seed,placement_seed,value,dataset,score_support_status
spin,MAE,outside_penalty_no_shift,0,0,3.2095611388753582,cta,exact
spin,MAE,outside_penalty_no_shift,0,1,5.7896427555663195,cta,exact
spin,MAE,outside_penalty_no_shift,0,2,5.0123148768893202,cta,exact
spin,MAE,outside_penalty_no_shift,0,3,16.552252204209339,cta,exact
spin,MAE,outside_penalty_no_shift,0,4,0.48657286079961182,cta,exact
spin,MAE,outside_penalty_no_shift,1,0,-1.3802032545099792,cta,exact
spin,MAE,outside_penalty_no_shift,1,1,-6.8596606838127911,cta,exact
spin,MAE,outside_penalty_no_shift,1,2,2.4326662298878432,cta,exact
spin,MAE,outside_penalty_no_shift,1,3,1.210128697383368,cta,exact
spin,MAE,outside_penalty_no_shift,1,4,5.7759934178449726,cta,exact
spin,MAE,outside_penalty_no_shift,2,0,-2.6796532179424446,cta,exact
spin,MAE,outside_penalty_no_shift,2,1,-9.4481248984235151,cta,exact
spin,MAE,outside_penalty_no_shift,2,2,-2.1364959166260178,cta,exact
spin,MAE,outside_penalty_no_shift,2,3,21.537296339184167,cta,exact
spin,MAE,outside_penalty_no_shift,2,4,11.0005548614497,cta,exact
spin,MAE,outside_penalty_regional_shift,0,0,57.962847772428077,cta,exact
spin,MAE,outside_penalty_regional_shift,0,1,57.556998364618877,cta,exact
spin,MAE,outside_penalty_regional_shift,0,2,71.799039531021464,cta,exact
spin,MAE,outside_penalty_regional_shift,0,3,78.256821812022565,cta,exact
spin,MAE,outside_penalty_regional_shift,0,4,66.111420178673001,cta,exact
spin,MAE,outside_penalty_regional_shift,1,0,24.274722442304565,cta,exact
spin,MAE,outside_penalty_regional_shift,1,1,21.860840875386003,cta,exact
spin,MAE,outside_penalty_regional_shift,1,2,30.347541976474901,cta,exact
spin,MAE,outside_penalty_regional_shift,1,3,44.450282128636445,cta,exact
spin,MAE,outside_penalty_regional_shift,1,4,27.818970420932871,cta,exact
spin,MAE,outside_penalty_regional_shift,2,0,71.518802438850969,cta,exact
spin,MAE,outside_penalty_regional_shift,2,1,64.447630982853909,cta,exact
spin,MAE,outside_penalty_regional_shift,2,2,79.003788802210309,cta,exact
spin,MAE,outside_penalty_regional_shift,2,3,102.50260289696084,cta,exact
spin,MAE,outside_penalty_regional_shift,2,4,70.40630650190964,cta,exact
spin,MAE,shift_excess_penalty,0,0,54.753286633552719,cta,exact
spin,MAE,shift_excess_penalty,0,1,51.767355609052558,cta,exact
spin,MAE,shift_excess_penalty,0,2,66.786724654132144,cta,exact
spin,MAE,shift_excess_penalty,0,3,61.704569607813227,cta,exact
spin,MAE,shift_excess_penalty,0,4,65.624847317873389,cta,exact
spin,MAE,shift_excess_penalty,1,0,25.654925696814544,cta,exact
spin,MAE,shift_excess_penalty,1,1,28.720501559198794,cta,exact
spin,MAE,shift_excess_penalty,1,2,27.914875746587057,cta,exact
spin,MAE,shift_excess_penalty,1,3,43.240153431253077,cta,exact
spin,MAE,shift_excess_penalty,1,4,22.042977003087898,cta,exact
spin,MAE,shift_excess_penalty,2,0,74.198455656793413,cta,exact
spin,MAE,shift_excess_penalty,2,1,73.895755881277424,cta,exact
spin,MAE,shift_excess_penalty,2,2,81.140284718836327,cta,exact
spin,MAE,shift_excess_penalty,2,3,80.965306557776671,cta,exact
spin,MAE,shift_excess_penalty,2,4,59.40575164045994,cta,exact
spin_c,MAE,outside_penalty_no_shift,0,0,1.0039640216154737,cta,exact
spin_c,MAE,outside_penalty_no_shift,0,1,4.5097767349260494,cta,exact
spin_c,MAE,outside_penalty_no_shift,0,2,3.7562266374126523,cta,exact
spin_c,MAE,outside_penalty_no_shift,0,3,2.0807939216642239,cta,exact
spin_c,MAE,outside_penalty_no_shift,0,4,-0.74826875609457488,cta,exact
spin_c,MAE,outside_penalty_no_shift,1,0,1.9710837193239286,cta,exact
spin_c,MAE,outside_penalty_no_shift,1,1,3.9658296765805261,cta,exact
spin_c,MAE,outside_penalty_no_shift,1,2,2.8586080976759831,cta,exact
spin_c,MAE,outside_penalty_no_shift,1,3,-0.19628509466927824,cta,exact
spin_c,MAE,outside_penalty_no_shift,1,4,-1.2201746099463691,cta,exact
spin_c,MAE,outside_penalty_no_shift,2,0,1.4522400150333254,cta,exact
spin_c,MAE,outside_penalty_no_shift,2,1,4.5883169287339456,cta,exact
spin_c,MAE,outside_penalty_no_shift,2,2,3.4699359052494856,cta,exact
spin_c,MAE,outside_penalty_no_shift,2,3,1.8823211238420186,cta,exact
spin_c,MAE,outside_penalty_no_shift,2,4,-0.28627740025190462,cta,exact
spin_c,MAE,outside_penalty_regional_shift,0,0,0.24200561463920067,cta,exact
spin_c,MAE,outside_penalty_regional_shift,0,1,1.1677141739801726,cta,exact
spin_c,MAE,outside_penalty_regional_shift,0,2,0.96622772935965173,cta,exact
spin_c,MAE,outside_penalty_regional_shift,0,3,0.52271662451243373,cta,exact
spin_c,MAE,outside_penalty_regional_shift,0,4,-0.20205638382699576,cta,exact
spin_c,MAE,outside_penalty_regional_shift,1,0,0.47292749090891562,cta,exact
spin_c,MAE,outside_penalty_regional_shift,1,1,1.011246419429547,cta,exact
spin_c,MAE,outside_penalty_regional_shift,1,2,0.72141511254672963,cta,exact
spin_c,MAE,outside_penalty_regional_shift,1,3,-0.04946488247602332,cta,exact
spin_c,MAE,outside_penalty_regional_shift,1,4,-0.31362734006785331,cta,exact
spin_c,MAE,outside_penalty_regional_shift,2,0,0.35909217302535268,cta,exact
spin_c,MAE,outside_penalty_regional_shift,2,1,1.1878875777059932,cta,exact
spin_c,MAE,outside_penalty_regional_shift,2,2,0.91180750243783137,cta,exact
spin_c,MAE,outside_penalty_regional_shift,2,3,0.47348822474810248,cta,exact
spin_c,MAE,outside_penalty_regional_shift,2,4,-0.077999457835613129,cta,exact
spin_c,MAE,shift_excess_penalty,0,0,-0.76195840697627304,cta,exact
spin_c,MAE,shift_excess_penalty,0,1,-3.3420625609458767,cta,exact
spin_c,MAE,shift_excess_penalty,0,2,-2.7899989080530005,cta,exact
spin_c,MAE,shift_excess_penalty,0,3,-1.5580772971517902,cta,exact
spin_c,MAE,shift_excess_penalty,0,4,0.54621237226757913,cta,exact
spin_c,MAE,shift_excess_penalty,1,0,-1.4981562284150129,cta,exact
spin_c,MAE,shift_excess_penalty,1,1,-2.9545832571509791,cta,exact
spin_c,MAE,shift_excess_penalty,1,2,-2.1371929851292535,cta,exact
spin_c,MAE,shift_excess_penalty,1,3,0.14682021219325492,cta,exact
spin_c,MAE,shift_excess_penalty,1,4,0.90654726987851575,cta,exact
spin_c,MAE,shift_excess_penalty,2,0,-1.0931478420079728,cta,exact
spin_c,MAE,shift_excess_penalty,2,1,-3.4004293510279524,cta,exact
spin_c,MAE,shift_excess_penalty,2,2,-2.5581284028116542,cta,exact
spin_c,MAE,shift_excess_penalty,2,3,-1.4088328990939161,cta,exact
spin_c,MAE,shift_excess_penalty,2,4,0.20827794241629149,cta,exact
ignnk_off,MAE,outside_penalty_no_shift,0,0,2.1086262703407215,cta,exact
ignnk_off,MAE,outside_penalty_no_shift,0,1,7.0544107834846841,cta,exact
ignnk_off,MAE,outside_penalty_no_shift,0,2,7.7586199535541596,cta,exact
ignnk_off,MAE,outside_penalty_no_shift,0,3,1.3188648766354163,cta,exact
ignnk_off,MAE,outside_penalty_no_shift,0,4,1.2981822415133024,cta,exact
ignnk_off,MAE,outside_penalty_no_shift,1,0,3.4003025788360333,cta,exact
ignnk_off,MAE,outside_penalty_no_shift,1,1,13.083917794800328,cta,exact
ignnk_off,MAE,outside_penalty_no_shift,1,2,8.6508619239344853,cta,exact
ignnk_off,MAE,outside_penalty_no_shift,1,3,6.3825307046613489,cta,exact
ignnk_off,MAE,outside_penalty_no_shift,1,4,0.98724751105913811,cta,exact
ignnk_off,MAE,outside_penalty_no_shift,2,0,12.043510596964893,cta,exact
ignnk_off,MAE,outside_penalty_no_shift,2,1,17.347352314165789,cta,exact
ignnk_off,MAE,outside_penalty_no_shift,2,2,14.908286132018958,cta,exact
ignnk_off,MAE,outside_penalty_no_shift,2,3,3.2137707692131983,cta,exact
ignnk_off,MAE,outside_penalty_no_shift,2,4,2.5243679563068895,cta,exact
ignnk_off,MAE,outside_penalty_regional_shift,0,0,21.172001514282911,cta,exact
ignnk_off,MAE,outside_penalty_regional_shift,0,1,28.53433074281601,cta,exact
ignnk_off,MAE,outside_penalty_regional_shift,0,2,28.890139595427286,cta,exact
ignnk_off,MAE,outside_penalty_regional_shift,0,3,16.586857917695141,cta,exact
ignnk_off,MAE,outside_penalty_regional_shift,0,4,17.773188399586573,cta,exact
ignnk_off,MAE,outside_penalty_regional_shift,1,0,23.491948656429031,cta,exact
ignnk_off,MAE,outside_penalty_regional_shift,1,1,34.290545476736469,cta,exact
ignnk_off,MAE,outside_penalty_regional_shift,1,2,35.295949146376756,cta,exact
ignnk_off,MAE,outside_penalty_regional_shift,1,3,20.599832327408862,cta,exact
ignnk_off,MAE,outside_penalty_regional_shift,1,4,19.849987548947155,cta,exact
ignnk_off,MAE,outside_penalty_regional_shift,2,0,22.683560023438773,cta,exact
ignnk_off,MAE,outside_penalty_regional_shift,2,1,29.47557046296015,cta,exact
ignnk_off,MAE,outside_penalty_regional_shift,2,2,27.737457052200142,cta,exact
ignnk_off,MAE,outside_penalty_regional_shift,2,3,19.701436370596639,cta,exact
ignnk_off,MAE,outside_penalty_regional_shift,2,4,17.317479865639754,cta,exact
ignnk_off,MAE,shift_excess_penalty,0,0,19.06337524394219,cta,exact
ignnk_off,MAE,shift_excess_penalty,0,1,21.479919959331326,cta,exact
ignnk_off,MAE,shift_excess_penalty,0,2,21.131519641873126,cta,exact
ignnk_off,MAE,shift_excess_penalty,0,3,15.267993041059725,cta,exact
ignnk_off,MAE,shift_excess_penalty,0,4,16.475006158073271,cta,exact
ignnk_off,MAE,shift_excess_penalty,1,0,20.091646077592998,cta,exact
ignnk_off,MAE,shift_excess_penalty,1,1,21.206627681936141,cta,exact
ignnk_off,MAE,shift_excess_penalty,1,2,26.645087222442271,cta,exact
ignnk_off,MAE,shift_excess_penalty,1,3,14.217301622747513,cta,exact
ignnk_off,MAE,shift_excess_penalty,1,4,18.862740037888017,cta,exact
ignnk_off,MAE,shift_excess_penalty,2,0,10.64004942647388,cta,exact
ignnk_off,MAE,shift_excess_penalty,2,1,12.12821814879436,cta,exact
ignnk_off,MAE,shift_excess_penalty,2,2,12.829170920181184,cta,exact
ignnk_off,MAE,shift_excess_penalty,2,3,16.487665601383441,cta,exact
ignnk_off,MAE,shift_excess_penalty,2,4,14.793111909332865,cta,exact
ignnk_off_c,MAE,outside_penalty_no_shift,0,0,6.0128828321804519,cta,exact
ignnk_off_c,MAE,outside_penalty_no_shift,0,1,15.70100213120125,cta,exact
ignnk_off_c,MAE,outside_penalty_no_shift,0,2,14.562564754997538,cta,exact
ignnk_off_c,MAE,outside_penalty_no_shift,0,3,7.5745879963280061,cta,exact
ignnk_off_c,MAE,outside_penalty_no_shift,0,4,3.4402108616350802,cta,exact
ignnk_off_c,MAE,outside_penalty_no_shift,1,0,4.8571631724362021,cta,exact
ignnk_off_c,MAE,outside_penalty_no_shift,1,1,15.54553926946204,cta,exact
ignnk_off_c,MAE,outside_penalty_no_shift,1,2,13.923841139484779,cta,exact
ignnk_off_c,MAE,outside_penalty_no_shift,1,3,8.0706756755469939,cta,exact
ignnk_off_c,MAE,outside_penalty_no_shift,1,4,2.7453197849372373,cta,exact
ignnk_off_c,MAE,outside_penalty_no_shift,2,0,4.7540529803805214,cta,exact
ignnk_off_c,MAE,outside_penalty_no_shift,2,1,14.424613755485126,cta,exact
ignnk_off_c,MAE,outside_penalty_no_shift,2,2,14.950649470405693,cta,exact
ignnk_off_c,MAE,outside_penalty_no_shift,2,3,7.3305289499278672,cta,exact
ignnk_off_c,MAE,outside_penalty_no_shift,2,4,3.8858260674416698,cta,exact
ignnk_off_c,MAE,outside_penalty_regional_shift,0,0,1.5237676235169744,cta,exact
ignnk_off_c,MAE,outside_penalty_regional_shift,0,1,3.9199893678007598,cta,exact
ignnk_off_c,MAE,outside_penalty_regional_shift,0,2,3.6631888233509073,cta,exact
ignnk_off_c,MAE,outside_penalty_regional_shift,0,3,1.8786834959826493,cta,exact
ignnk_off_c,MAE,outside_penalty_regional_shift,0,4,0.83875336035585235,cta,exact
ignnk_off_c,MAE,outside_penalty_regional_shift,1,0,1.2225685014233392,cta,exact
ignnk_off_c,MAE,outside_penalty_regional_shift,1,1,3.8744281165564516,cta,exact
ignnk_off_c,MAE,outside_penalty_regional_shift,1,2,3.4949975375642524,cta,exact
ignnk_off_c,MAE,outside_penalty_regional_shift,1,3,2.0006532537322954,cta,exact
ignnk_off_c,MAE,outside_penalty_regional_shift,1,4,0.66062706783499081,cta,exact
ignnk_off_c,MAE,outside_penalty_regional_shift,2,0,1.2021461262386026,cta,exact
ignnk_off_c,MAE,outside_penalty_regional_shift,2,1,3.5935165328396721,cta,exact
