dataset,model,train_seed,shift,coverage,MAE,snaive7,MAE_over_snaive7,n_placements,input_source
Chicago,ignnk_off,0,no shift,inside,213.70752687967251,219.14405980822363,0.97753127549233532,5,original
Chicago,ignnk_off,0,no shift,outside,217.61526770477818,219.14405980822363,0.994465769463317,5,original
Chicago,ignnk_off,0,regional shift,inside,76.307492034183014,54.786014952055908,1.4201226780778593,5,original
Chicago,ignnk_off,0,regional shift,outside,98.898795668144601,54.786014952055908,1.8333555471502074,5,original
Chicago,ignnk_off,1,no shift,inside,189.06041899975111,219.14405980822363,0.86360052793721531,5,original
Chicago,ignnk_off,1,no shift,outside,195.5613911024094,219.14405980822363,0.89194666407499634,5,original
Chicago,ignnk_off,1,regional shift,inside,82.58642484880977,54.786014952055908,1.5431122765416116,5,original
Chicago,ignnk_off,1,regional shift,outside,109.29207747998944,54.786014952055908,2.0293150465916439,5,original
Chicago,ignnk_off,2,no shift,inside,217.83096081656055,219.14405980822363,0.99456409520516798,5,original
Chicago,ignnk_off,2,no shift,outside,227.83841837029445,219.14405980822363,1.038494315910149,5,original
Chicago,ignnk_off,2,regional shift,inside,133.76529751112261,54.786014952055908,2.4798799266269773,5,original
Chicago,ignnk_off,2,regional shift,outside,157.14839826608971,54.786014952055908,2.9073224187971545,5,original
Chicago,ignnk_off_c,0,no shift,inside,160.53002698759752,219.14405980822363,0.73414667293152436,5,original
Chicago,ignnk_off_c,0,no shift,outside,169.98827670286599,219.14405980822363,0.77575263337263289,5,original
Chicago,ignnk_off_c,0,regional shift,inside,40.121104695261081,54.786014952055908,0.73398657297321557,5,original
Chicago,ignnk_off_c,0,regional shift,outside,42.48598122946251,54.786014952055908,0.77556023617910552,5,original
Chicago,ignnk_off_c,1,no shift,inside,144.1553154488918,219.14405980822363,0.65927905188344282,5,original
Chicago,ignnk_off_c,1,no shift,outside,153.18382325726526,219.14405980822363,0.69879575365597801,5,original
Chicago,ignnk_off_c,1,regional shift,inside,36.034610181263204,54.786014952055908,0.65924447117099416,5,original
Chicago,ignnk_off_c,1,regional shift,outside,38.285265076685469,54.786014952055908,0.69860532282030385,5,original
Chicago,ignnk_off_c,2,no shift,inside,147.12545128519625,219.14405980822363,0.67175096314379756,5,original
Chicago,ignnk_off_c,2,no shift,outside,156.19458552992441,219.14405980822363,0.71166519771795289,5,original
Chicago,ignnk_off_c,2,regional shift,inside,36.785332951389947,54.786014952055908,0.6718581322033772,5,original
Chicago,ignnk_off_c,2,regional shift,outside,39.049020705648545,54.786014952055908,0.71167242700663447,5,original
Chicago,spin,0,no shift,inside,165.2994121261986,219.14405980822363,0.75514705012094696,5,original
Chicago,spin,0,no shift,outside,171.50948089346659,219.14405980822363,0.78226980326822493,5,original
Chicago,spin,0,regional shift,inside,43.8055324257476,54.786014952055908,0.80370814772749222,5,original
Chicago,spin,0,regional shift,outside,110.1429579575004,54.786014952055908,2.0386563096873642,5,original
Chicago,spin,1,no shift,inside,152.27426661790997,219.14405980822363,0.69506817439454716,5,original
Chicago,spin,1,no shift,outside,152.51005149926863,219.14405980822363,0.69749299443599699,5,original
Chicago,spin,1,regional shift,inside,62.508544612384206,54.786014952055908,1.1532729052390578,5,original
Chicago,spin,1,regional shift,outside,92.259016181131159,54.786014952055908,1.7048373037187605,5,original
Chicago,spin,2,no shift,inside,188.50374766374125,219.14405980822363,0.86045055631202094,5,original
Chicago,spin,2,no shift,outside,192.15846309726962,219.14405980822363,0.88011387367478788,5,original
Chicago,spin,2,regional shift,inside,62.861617808386157,54.786014952055908,1.1487939677958698,5,original
Chicago,spin,2,regional shift,outside,140.43744413294328,54.786014952055908,2.5862799461851984,5,original
Chicago,spin_c,0,no shift,inside,127.99657115939378,219.14405980822363,0.58423724060369542,5,original
Chicago,spin_c,0,no shift,outside,130.11706967129857,219.14405980822363,0.59300839661890625,5,original
Chicago,spin_c,0,regional shift,inside,32.003290664868764,54.786014952055908,0.58435581490649313,5,original
Chicago,spin_c,0,regional shift,outside,32.542612216601654,54.786014952055908,0.59325848284943183,5,original
Chicago,spin_c,1,no shift,inside,113.6726860880871,219.14405980822363,0.51827653582047828,5,original
Chicago,spin_c,1,no shift,outside,115.14849844588007,219.14405980822363,0.52418436318014672,5,original
Chicago,spin_c,1,regional shift,inside,28.427928671735334,54.786014952055908,0.51847338753191941,5,original
Chicago,spin_c,1,regional shift,outside,28.796428031803593,54.786014952055908,0.52435788343612444,5,original
Chicago,spin_c,2,no shift,inside,118.76107818340647,219.14405980822363,0.54125395391192033,5,original
Chicago,spin_c,2,no shift,outside,120.98238549792784,219.14405980822363,0.55067832476741552,5,original
Chicago,spin_c,2,regional shift,inside,29.68835092510767,54.786014952055908,0.54126115795635188,5,original
Chicago,spin_c,2,regional shift,outside,30.259206129124003,54.786014952055908,0.55093211528955532,5,original
Subway,ignnk_off,0,no shift,inside,1042.6094344441285,993.63576339039389,1.0489226582119398,5,original
Subway,ignnk_off,0,no shift,outside,1044.7481048440818,993.63576339039389,1.0512906247105296,5,original
Subway,ignnk_off,0,regional shift,inside,363.71427240975873,248.40894084759847,1.4630477196834506,5,original
Subway,ignnk_off,0,regional shift,outside,422.7305053198931,248.40894084759847,1.7012305065470072,5,original
Subway,ignnk_off,1,no shift,inside,900.03787357151759,993.63576339039389,0.90545856923698231,5,original
Subway,ignnk_off,1,no shift,outside,901.34807516926742,993.63576339039389,0.9071720284816307,5,original
Subway,ignnk_off,1,regional shift,inside,399.2749984810074,248.40894084759847,1.6054085805614164,5,original
Subway,ignnk_off,1,regional shift,outside,526.11808731905944,248.40894084759847,2.1172903249304884,5,original
Subway,ignnk_off,2,no shift,inside,924.86937959350621,993.63576339039389,0.93065578915242386,5,original
Subway,ignnk_off,2,no shift,outside,922.99812669767471,993.63576339039389,0.92899320788403517,5,original
Subway,ignnk_off,2,regional shift,inside,344.72839777460683,248.40894084759847,1.3865058781997721,5,original
Subway,ignnk_off,2,regional shift,outside,463.39374086473345,248.40894084759847,1.8644989813484614,5,original
Subway,ignnk_off_c,0,no shift,inside,767.77469731894087,993.63576339039389,0.77270538079381057,5,original
Subway,ignnk_off_c,0,no shift,outside,765.97179382809531,993.63576339039389,0.77115684079249847,5,original
Subway,ignnk_off_c,0,regional shift,inside,192.07391056170837,248.40894084759847,0.77323116455735119,5,original
Subway,ignnk_off_c,0,regional shift,outside,191.59859909251989,248.40894084759847,0.77158099540101321,5,original
Subway,ignnk_off_c,1,no shift,inside,791.53814437505389,993.63576339039389,0.79655736648215769,5,original
Subway,ignnk_off_c,1,no shift,outside,793.76592466050181,993.63576339039389,0.79901593763995771,5,original
Subway,ignnk_off_c,1,regional shift,inside,197.94876562568098,248.40894084759847,0.79681371691716607,5,original
Subway,ignnk_off_c,1,regional shift,outside,198.48080117073522,248.40894084759847,0.79917007417713015,5,original
Subway,ignnk_off_c,2,no shift,inside,883.29751091900403,993.63576339039389,0.88902647223281728,5,original
Subway,ignnk_off_c,2,no shift,outside,887.1221563148838,993.63576339039389,0.89310356975069127,5,original
Subway,ignnk_off_c,2,regional shift,inside,220.96701067860712,248.40894084759847,0.88960616734078446,5,original
Subway,ignnk_off_c,2,regional shift,outside,221.96001609102547,248.40894084759847,0.8938236318047148,5,original
