dataset,backbone,train_seed,n_placements,input_source,D_uncentred,raw_D_uncentred,D_KRIN,raw_D_KRIN,R,raw_R
Chicago,SPIN-s,0,5,original,1.2078254088125941,60.127356764484809,0.00013151192772791197,-1.5811769601718724,1.2076938968848663,61.708533724656682
Chicago,SPIN-s,1,5,original,0.54913957843825301,29.514686687388274,-2.333145546351556e-05,-1.1073129977246949,0.54916290989371652,30.621999685112968
Chicago,SPIN-s,2,5,original,1.4178226610265621,73.921110891028746,0.0002465864777082327,-1.6504521105050407,1.4175760745488537,75.571563001533789
Chicago,IGNNK-R,0,5,original,0.3962983751013664,18.683562808855928,-3.2297235218470277e-05,-7.0933731810670366,0.39633067233658481,25.776935989922965
Chicago,IGNNK-R,1,5,original,0.45785663391225107,20.204680528521386,-0.00015585012322547609,-6.7778529129511842,0.45801248403547656,26.982533441472572
Chicago,IGNNK-R,2,5,original,0.3835122714651959,13.375643201233146,-9.9939770898171965e-05,-6.8054464904695804,0.38361221123609407,20.181089691702727
Subway,SPIN-s,0,5,original,1.1870417150473469,276.79541103782196,0.00016437039823689049,-6.3220279659987195,1.1868773446491099,283.11743900382066
Subway,SPIN-s,1,5,original,1.2971359913039966,314.46845877914359,-0.0002197827639442429,-3.369856710642003,1.2973557740679409,317.8383154897856
Subway,SPIN-s,2,5,original,1.8260075043428003,445.79648004403253,8.3386637295068677e-05,-3.9631661330371144,1.8259241177055052,449.75964617706967
Subway,IGNNK-R,0,5,original,0.23581482036496709,56.877562510180951,-0.00010162915502576197,1.3275920216570056,0.23591644951999285,55.549970488523947
Subway,IGNNK-R,1,5,original,0.51016828512442358,125.53288724030203,-0.00010221389783600099,-1.6957447403937067,0.51027049902225952,127.22863198069577
Subway,IGNNK-R,2,5,original,0.47965568441707801,120.53659598595819,0.00014036694605639165,-2.8316399834616051,0.47951531747102161,123.36823596941977
