dataset,model,train_seed,placement_seed,shift,coverage,MAE,snaive7,common_mode,n_target,n_observed,realised_shift
cta,spin,0,0,no shift,inside,160.4776100073135,218.74987810823987,160.70907838688996,21,22,1.1264620890535109
cta,spin,0,0,no shift,outside,163.68717114618886,218.74987810823987,160.72905573866325,21,22,1.1264620890535109
cta,spin,0,1,no shift,inside,192.837848407281,219.8454412481716,149.17063584144728,21,22,1.1264620890535109
cta,spin,0,1,no shift,outside,198.62749116284735,219.8454412481716,151.4227503926293,21,22,1.1264620890535109
cta,spin,0,2,no shift,inside,189.04872242198928,265.26036079960994,189.35779661273412,21,22,1.1264620890535109
cta,spin,0,2,no shift,outside,194.0610372988786,265.26036079960994,193.75248786122648,21,22,1.1264620890535109
cta,spin,0,3,no shift,inside,163.71657499390545,227.5228343897286,168.17692216383062,21,22,1.1264620890535109
cta,spin,0,3,no shift,outside,180.26882719811476,227.5228343897286,172.98570886341946,21,22,1.1264620890535109
cta,spin,0,4,no shift,inside,120.41630480050382,164.3417844953681,108.01955442259144,21,22,1.1264620890535109
cta,spin,0,4,no shift,outside,120.90287766130344,164.3417844953681,109.85380781105042,21,22,1.1264620890535109
cta,spin,0,0,regional shift,inside,37.83515345664716,54.68746952705997,40.17508953765671,21,22,1.1264620890535109
cta,spin,0,0,regional shift,outside,95.79800122907524,54.68746952705997,40.1770739339316,21,22,1.1264620890535109
cta,spin,0,1,regional shift,inside,51.0121155330733,54.961360312042906,37.28226847222702,21,22,1.1264620890535109
cta,spin,0,1,regional shift,outside,108.56911389769218,54.961360312042906,37.85209975004262,21,22,1.1264620890535109
cta,spin,0,2,regional shift,inside,49.56104523454006,66.31509019990249,47.3264221856702,21,22,1.1264620890535109
cta,spin,0,2,regional shift,outside,121.36008476556152,66.31509019990249,48.4416879392888,21,22,1.1264620890535109
cta,spin,0,3,regional shift,inside,46.01965028492199,56.88070859743215,42.030761411622855,21,22,1.1264620890535109
cta,spin,0,3,regional shift,outside,124.27647209694456,56.88070859743215,43.256688352021534,21,22,1.1264620890535109
cta,spin,0,4,regional shift,inside,34.5996976195555,41.085446123842026,26.99909463215904,21,22,1.1264620890535109
cta,spin,0,4,regional shift,outside,100.7111177982285,41.085446123842026,27.46273027310985,21,22,1.1264620890535109
cta,spin,1,0,no shift,inside,145.3733214488867,218.74987810823987,160.70907838688996,21,22,1.1264620890535109
cta,spin,1,0,no shift,outside,143.99311819437673,218.74987810823987,160.72905573866325,21,22,1.1264620890535109
cta,spin,1,1,no shift,inside,179.5858600479441,219.8454412481716,149.17063584144728,21,22,1.1264620890535109
cta,spin,1,1,no shift,outside,172.7261993641313,219.8454412481716,151.4227503926293,21,22,1.1264620890535109
cta,spin,1,2,no shift,inside,175.4059262250122,265.26036079960994,189.35779661273412,21,22,1.1264620890535109
cta,spin,1,2,no shift,outside,177.83859245490004,265.26036079960994,193.75248786122648,21,22,1.1264620890535109
cta,spin,1,3,no shift,inside,151.23689282666993,227.5228343897286,168.17692216383062,21,22,1.1264620890535109
cta,spin,1,3,no shift,outside,152.4470215240533,227.5228343897286,172.98570886341946,21,22,1.1264620890535109
cta,spin,1,4,no shift,inside,109.76933254103687,164.3417844953681,108.01955442259144,21,22,1.1264620890535109
cta,spin,1,4,no shift,outside,115.54532595888185,164.3417844953681,109.85380781105042,21,22,1.1264620890535109
cta,spin,1,0,regional shift,inside,51.90784602023403,54.68746952705997,40.17508953765671,21,22,1.1264620890535109
cta,spin,1,0,regional shift,outside,76.1825684625386,54.68746952705997,40.1770739339316,21,22,1.1264620890535109
cta,spin,1,1,regional shift,inside,71.64422779030554,54.961360312042906,37.28226847222702,21,22,1.1264620890535109
cta,spin,1,1,regional shift,outside,93.50506866569154,54.961360312042906,37.85209975004262,21,22,1.1264620890535109
cta,spin,1,2,regional shift,inside,69.69508331809686,66.31509019990249,47.3264221856702,21,22,1.1264620890535109
cta,spin,1,2,regional shift,outside,100.04262529457176,66.31509019990249,48.4416879392888,21,22,1.1264620890535109
cta,spin,1,3,regional shift,inside,65.234543870876,56.88070859743215,42.030761411622855,21,22,1.1264620890535109
cta,spin,1,3,regional shift,outside,109.68482599951244,56.88070859743215,43.256688352021534,21,22,1.1264620890535109
cta,spin,1,4,regional shift,inside,54.06102206240858,41.085446123842026,26.99909463215904,21,22,1.1264620890535109
cta,spin,1,4,regional shift,outside,81.87999248334145,41.085446123842026,27.46273027310985,21,22,1.1264620890535109
cta,spin,2,0,no shift,inside,181.35646356452136,218.74987810823987,160.70907838688996,21,22,1.1264620890535109
cta,spin,2,0,no shift,outside,178.67681034657892,218.74987810823987,160.72905573866325,21,22,1.1264620890535109
cta,spin,2,1,no shift,inside,230.67741091743864,219.8454412481716,149.17063584144728,21,22,1.1264620890535109
cta,spin,2,1,no shift,outside,221.22928601901512,219.8454412481716,151.4227503926293,21,22,1.1264620890535109
cta,spin,2,2,no shift,inside,214.73908814805785,265.26036079960994,189.35779661273412,21,22,1.1264620890535109
cta,spin,2,2,no shift,outside,212.60259223143183,265.26036079960994,193.75248786122648,21,22,1.1264620890535109
cta,spin,2,3,no shift,inside,181.6236820453437,227.5228343897286,168.17692216383062,21,22,1.1264620890535109
cta,spin,2,3,no shift,outside,203.16097838452788,227.5228343897286,172.98570886341946,21,22,1.1264620890535109
cta,spin,2,4,no shift,inside,134.1220936433447,164.3417844953681,108.01955442259144,21,22,1.1264620890535109
cta,spin,2,4,no shift,outside,145.1226485047944,164.3417844953681,109.85380781105042,21,22,1.1264620890535109
cta,spin,2,0,regional shift,inside,56.007703940151146,54.68746952705997,40.17508953765671,21,22,1.1264620890535109
cta,spin,2,0,regional shift,outside,127.52650637900211,54.68746952705997,40.1770739339316,21,22,1.1264620890535109
cta,spin,2,1,regional shift,inside,77.48126676011701,54.961360312042906,37.28226847222702,21,22,1.1264620890535109
cta,spin,2,1,regional shift,outside,141.92889774297092,54.961360312042906,37.85209975004262,21,22,1.1264620890535109
cta,spin,2,2,regional shift,inside,75.70875995449374,66.31509019990249,47.3264221856702,21,22,1.1264620890535109
cta,spin,2,2,regional shift,outside,154.71254875670405,66.31509019990249,48.4416879392888,21,22,1.1264620890535109
cta,spin,2,3,regional shift,inside,57.6871838432472,56.88070859743215,42.030761411622855,21,22,1.1264620890535109
cta,spin,2,3,regional shift,outside,160.18978674020804,56.88070859743215,43.256688352021534,21,22,1.1264620890535109
cta,spin,2,4,regional shift,inside,47.42317454392166,41.085446123842026,26.99909463215904,21,22,1.1264620890535109
cta,spin,2,4,regional shift,outside,117.8294810458313,41.085446123842026,27.46273027310985,21,22,1.1264620890535109
cta,spin_c,0,0,no shift,inside,117.66861693482852,218.74987810823987,160.70907838688996,21,22,1.1264620890535109
cta,spin_c,0,0,no shift,outside,118.672580956444,218.74987810823987,160.72905573866325,21,22,1.1264620890535109
cta,spin_c,0,1,no shift,inside,147.54933568990737,219.8454412481716,149.17063584144728,21,22,1.1264620890535109
cta,spin_c,0,1,no shift,outside,152.05911242483342,219.8454412481716,151.4227503926293,21,22,1.1264620890535109
cta,spin_c,0,2,no shift,inside,144.23496414350723,265.26036079960994,189.35779661273412,21,22,1.1264620890535109
cta,spin_c,0,2,no shift,outside,147.99119078091988,265.26036079960994,193.75248786122648,21,22,1.1264620890535109
cta,spin_c,0,3,no shift,inside,138.7059285104827,227.5228343897286,168.17692216383062,21,22,1.1264620890535109
cta,spin_c,0,3,no shift,outside,140.78672243214692,227.5228343897286,172.98570886341946,21,22,1.1264620890535109
cta,spin_c,0,4,no shift,inside,91.82401051824311,164.3417844953681,108.01955442259144,21,22,1.1264620890535109
cta,spin_c,0,4,no shift,outside,91.07574176214854,164.3417844953681,109.85380781105042,21,22,1.1264620890535109
cta,spin_c,0,0,regional shift,inside,29.43222595938973,54.68746952705997,40.17508953765671,21,22,1.1264620890535109
cta,spin_c,0,0,regional shift,outside,29.67423157402893,54.68746952705997,40.1770739339316,21,22,1.1264620890535109
cta,spin_c,0,1,regional shift,inside,36.87399947180237,54.961360312042906,37.28226847222702,21,22,1.1264620890535109
cta,spin_c,0,1,regional shift,outside,38.04171364578254,54.961360312042906,37.85209975004262,21,22,1.1264620890535109
cta,spin_c,0,2,regional shift,inside,36.04084707155047,66.31509019990249,47.3264221856702,21,22,1.1264620890535109
cta,spin_c,0,2,regional shift,outside,37.007074800910125,66.31509019990249,48.4416879392888,21,22,1.1264620890535109
cta,spin_c,0,3,regional shift,inside,34.68658898606371,56.88070859743215,42.030761411622855,21,22,1.1264620890535109
cta,spin_c,0,3,regional shift,outside,35.209305610576145,56.88070859743215,43.256688352021534,21,22,1.1264620890535109
cta,spin_c,0,4,regional shift,inside,22.982791835537544,41.085446123842026,26.99909463215904,21,22,1.1264620890535109
cta,spin_c,0,4,regional shift,outside,22.780735451710548,41.085446123842026,27.46273027310985,21,22,1.1264620890535109
cta,spin_c,1,0,no shift,inside,107.55821855192588,218.74987810823987,160.70907838688996,21,22,1.1264620890535109
cta,spin_c,1,0,no shift,outside,109.5293022712498,218.74987810823987,160.72905573866325,21,22,1.1264620890535109
cta,spin_c,1,1,no shift,inside,124.78397224930929,219.8454412481716,149.17063584144728,21,22,1.1264620890535109
cta,spin_c,1,1,no shift,outside,128.7498019258898,219.8454412481716,151.4227503926293,21,22,1.1264620890535109
cta,spin_c,1,2,no shift,inside,130.75679038680315,265.26036079960994,189.35779661273412,21,22,1.1264620890535109
cta,spin_c,1,2,no shift,outside,133.61539848447913,265.26036079960994,193.75248786122648,21,22,1.1264620890535109
cta,spin_c,1,3,no shift,inside,124.19715230375428,227.5228343897286,168.17692216383062,21,22,1.1264620890535109
cta,spin_c,1,3,no shift,outside,124.000867209085,227.5228343897286,172.98570886341946,21,22,1.1264620890535109
cta,spin_c,1,4,no shift,inside,81.06729694864293,164.3417844953681,108.01955442259144,21,22,1.1264620890535109
cta,spin_c,1,4,no shift,outside,79.84712233869656,164.3417844953681,109.85380781105042,21,22,1.1264620890535109
cta,spin_c,1,0,regional shift,inside,26.911285494626604,54.68746952705997,40.17508953765671,21,22,1.1264620890535109
cta,spin_c,1,0,regional shift,outside,27.384212985535516,54.68746952705997,40.1770739339316,21,22,1.1264620890535109
cta,spin_c,1,1,regional shift,inside,31.19677837538599,54.961360312042906,37.28226847222702,21,22,1.1264620890535109
cta,spin_c,1,1,regional shift,outside,32.208024794815536,54.961360312042906,37.85209975004262,21,22,1.1264620890535109
cta,spin_c,1,2,regional shift,inside,32.68923187875833,66.31509019990249,47.3264221856702,21,22,1.1264620890535109
cta,spin_c,1,2,regional shift,outside,33.41064699130506,66.31509019990249,48.4416879392888,21,22,1.1264620890535109
cta,spin_c,1,3,regional shift,inside,31.05912194762717,56.88070859743215,42.030761411622855,21,22,1.1264620890535109
cta,spin_c,1,3,regional shift,outside,31.009657065151146,56.88070859743215,43.256688352021534,21,22,1.1264620890535109
cta,spin_c,1,4,regional shift,inside,20.283225662278564,41.085446123842026,26.99909463215904,21,22,1.1264620890535109
cta,spin_c,1,4,regional shift,outside,19.96959832221071,41.085446123842026,27.46273027310985,21,22,1.1264620890535109
cta,spin_c,2,0,no shift,inside,111.68745302088412,218.74987810823987,160.70907838688996,21,22,1.1264620890535109
cta,spin_c,2,0,no shift,outside,113.13969303591745,218.74987810823987,160.72905573866325,21,22,1.1264620890535109
cta,spin_c,2,1,no shift,inside,133.2024304709085,219.8454412481716,149.17063584144728,21,22,1.1264620890535109
cta,spin_c,2,1,no shift,outside,137.79074739964244,219.8454412481716,151.4227503926293,21,22,1.1264620890535109
cta,spin_c,2,2,no shift,inside,136.304533865594,265.26036079960994,189.35779661273412,21,22,1.1264620890535109
cta,spin_c,2,2,no shift,outside,139.7744697708435,265.26036079960994,193.75248786122648,21,22,1.1264620890535109
cta,spin_c,2,3,no shift,inside,128.87195524540874,227.5228343897286,168.17692216383062,21,22,1.1264620890535109
cta,spin_c,2,3,no shift,outside,130.75427636925076,227.5228343897286,172.98570886341946,21,22,1.1264620890535109
cta,spin_c,2,4,no shift,inside,83.73901831423696,164.3417844953681,108.01955442259144,21,22,1.1264620890535109
cta,spin_c,2,4,no shift,outside,83.45274091398505,164.3417844953681,109.85380781105042,21,22,1.1264620890535109
cta,spin_c,2,0,regional shift,inside,27.92957798787177,54.68746952705997,40.17508953765671,21,22,1.1264620890535109
cta,spin_c,2,0,regional shift,outside,28.288670160897123,54.68746952705997,40.1770739339316,21,22,1.1264620890535109
cta,spin_c,2,1,regional shift,inside,33.28671767075004,54.961360312042906,37.28226847222702,21,22,1.1264620890535109
cta,spin_c,2,1,regional shift,outside,34.47460524845604,54.961360312042906,37.85209975004262,21,22,1.1264620890535109
cta,spin_c,2,2,regional shift,inside,34.04167174549001,66.31509019990249,47.3264221856702,21,22,1.1264620890535109
cta,spin_c,2,2,regional shift,outside,34.95347924792784,66.31509019990249,48.4416879392888,21,22,1.1264620890535109
cta,spin_c,2,3,regional shift,inside,32.23104614872826,56.88070859743215,42.030761411622855,21,22,1.1264620890535109
cta,spin_c,2,3,regional shift,outside,32.70453437347636,56.88070859743215,43.256688352021534,21,22,1.1264620890535109
cta,spin_c,2,4,regional shift,inside,20.95274107269828,41.085446123842026,26.99909463215904,21,22,1.1264620890535109
cta,spin_c,2,4,regional shift,outside,20.874741614862668,41.085446123842026,27.46273027310985,21,22,1.1264620890535109
cta,ignnk_off,0,0,no shift,inside,213.91228388019564,218.74987810823987,160.70907838688996,21,22,1.1264620890535109
cta,ignnk_off,0,0,no shift,outside,216.02091015053634,218.74987810823987,160.72905573866325,21,22,1.1264620890535109
cta,ignnk_off,0,1,no shift,inside,228.9458845818351,219.84544124817162,149.17063584144728,21,22,1.1264620890535109
cta,ignnk_off,0,1,no shift,outside,236.00029536531977,219.84544124817162,151.4227503926293,21,22,1.1264620890535109
cta,ignnk_off,0,2,no shift,inside,248.78726991343146,265.26036079960994,189.35779661273415,21,22,1.1264620890535109
cta,ignnk_off,0,2,no shift,outside,256.5458898669856,265.26036079960994,193.75248786122648,21,22,1.1264620890535109
