dataset,model,train_seed,placement_seed,shift,coverage,MAE,snaive7,common_mode,n_target,n_observed,realised_shift,model_score_policy,n_scored,n_all_valid,MAE_all_valid,previous_MAE,replay_MAE_difference,prediction_file,prediction_sha256
mta,spin,0,0,no shift,inside,651.3717386303889,993.22397476340689,615.58343963507525,65,66,0.8412481727836516,target_and_lag7_valid,19020,19032,651.32905107187889,719.7586104981084,-68.429559426229503,results_mta/coverage_matched_predictions/spin_ts0_p0_no_shift_inside.npz,7fd3bf4783ecd63e089c30d8f124de566d4a22030124e3ea61c6224ba20be998
mta,spin,0,0,no shift,outside,678.5441040680862,993.22397476340689,623.27623474511495,65,66,0.8412481727836516,target_and_lag7_valid,19020,19032,678.47208238098995,754.80777769020597,-76.335695309216021,results_mta/coverage_matched_predictions/spin_ts0_p0_no_shift_outside.npz,d43dadbc590c5b0dd39e45f34a96a87ab589775974b6488e5351578e1d17d494
mta,spin,0,1,no shift,inside,604.77894887259538,946.07442447177561,638.72481956601712,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,604.84272885474127,685.43782505910167,-80.595096204360402,results_mta/coverage_matched_predictions/spin_ts0_p1_no_shift_inside.npz,7b8d8be13c6c4ab34bed54dbfccdea5d98f568729ff903846bd10d9ea2eb260e
mta,spin,0,1,no shift,outside,630.90552648349626,946.07442447177561,640.8436092925723,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,630.93468200026268,725.81231941161025,-94.87763741134755,results_mta/coverage_matched_predictions/spin_ts0_p1_no_shift_outside.npz,d7264d9477d401913ddbcedefe46e8b9e7bdedd051d85890fc040161d9f2bd97
mta,spin,0,2,no shift,inside,679.27470094280159,1056.5591154997635,665.21950427652689,65,66,0.8412481727836516,target_and_lag7_valid,19039,19042,679.23074322550156,781.34360886461502,-102.11286563911348,results_mta/coverage_matched_predictions/spin_ts0_p2_no_shift_inside.npz,03975915db186bf71eb02441a72c1b5538acd7ba357bf1ec6bccdb121cde65f8
mta,spin,0,2,no shift,outside,739.41231977782434,1056.5591154997635,670.7288228025842,65,66,0.8412481727836516,target_and_lag7_valid,19039,19042,739.36410139428619,835.68145415397532,-96.317352759689129,results_mta/coverage_matched_predictions/spin_ts0_p2_no_shift_outside.npz,801a134749d3949fc8403162c4fa9c75ce08f04f17ad0cffef5fd68d03647d7e
mta,spin,0,3,no shift,inside,635.86955022075051,998.22085567118688,618.1920085298035,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,635.91581297609662,730.7508142894668,-94.835001313370171,results_mta/coverage_matched_predictions/spin_ts0_p3_no_shift_inside.npz,dc9e3c8da61a2a79e4375b3ddfd93be87a9d9ca24db007a029700e20a74dca8c
mta,spin,0,3,no shift,outside,649.20103575370547,998.22085567118688,617.71818118853855,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,649.23538711583922,724.48294588915155,-75.247558773312335,results_mta/coverage_matched_predictions/spin_ts0_p3_no_shift_outside.npz,3860be034fdeff8c63c23fb8d7cc1bf5bae7f5d25394966e6024b4b7ab994c65
mta,spin,0,4,no shift,inside,646.73851129498291,974.10044654583646,610.53154901284825,65,66,0.8412481727836516,target_and_lag7_valid,19035,19040,646.66035320378148,716.70304621848732,-70.042693014705947,results_mta/coverage_matched_predictions/spin_ts0_p4_no_shift_inside.npz,6951baa2ba8529b2685a038c95839c0a19a3574521764a74b8baa62df4ffb03e
mta,spin,0,4,no shift,outside,652.33772655634357,974.10044654583646,603.90173912763157,65,66,0.8412481727836516,target_and_lag7_valid,19035,19040,652.22635733981087,717.41658350840339,-65.190226168592517,results_mta/coverage_matched_predictions/spin_ts0_p4_no_shift_outside.npz,fea1c9302a34011caa1ee2bbf2b9128bd85c0329eb980470b1b268973b79ecfd
mta,spin,0,0,regional shift,inside,173.03879099303364,248.30599369085169,153.8801707664139,65,66,0.8412481727836516,target_and_lag7_valid,19020,19032,173.10283256489072,207.71415248003359,-34.611319915142872,results_mta/coverage_matched_predictions/spin_ts0_p0_regional_shift_inside.npz,5c069aee230490fc9b1144fdfeb94acbb0aa01dfdabb3b81514055d9a9e62e96
mta,spin,0,0,regional shift,outside,469.3680426853312,248.30599369085169,155.82280772812058,65,66,0.8412481727836516,target_and_lag7_valid,19020,19032,469.33254108212486,498.46327895124,-29.130737869115137,results_mta/coverage_matched_predictions/spin_ts0_p0_regional_shift_outside.npz,871ed9f46e529dfb970b1625f4e7814940976e5fc45d3b8f50b0f5542041921b
mta,spin,0,1,regional shift,inside,161.09301970822821,236.51860611794388,159.65467919311348,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,161.18265304866037,197.55355266614129,-36.370899617480923,results_mta/coverage_matched_predictions/spin_ts0_p1_regional_shift_inside.npz,621990f0804690f024f3a5d953219e4ed8af982c87d07b6a1faec68e1d86ef8c
mta,spin,0,1,regional shift,outside,439.46851142844002,236.51860611794388,160.21150760772235,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,439.50079828276859,481.70717756763855,-42.206379284869968,results_mta/coverage_matched_predictions/spin_ts0_p1_regional_shift_outside.npz,cc2550434612a7b5d419aeaa0911fe8044459289243f4fe7b50908a4c304d475
mta,spin,0,2,regional shift,inside,180.99817069567729,264.13977887494093,166.27817808148609,65,66,0.8412481727836516,target_and_lag7_valid,19039,19042,181.00066711086021,215.36857998109443,-34.367912870234221,results_mta/coverage_matched_predictions/spin_ts0_p2_regional_shift_inside.npz,79a3c51243c13db6d6c8ce4b6d4c088fb0ebd145968581b8dd948cc562131648
mta,spin,0,2,regional shift,outside,519.89505751352488,264.13977887494093,167.68460021856967,65,66,0.8412481727836516,target_and_lag7_valid,19039,19042,519.88157428316356,566.6209825648566,-46.739408281693045,results_mta/coverage_matched_predictions/spin_ts0_p2_regional_shift_outside.npz,efe99ed097c6f96d8910432ad3f2f1c997be01d4582e8ba978ce468303262018
mta,spin,0,3,regional shift,inside,169.6712504434721,249.55521391779669,154.53149023371401,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,169.74419203112686,193.978482072498,-24.234290041371136,results_mta/coverage_matched_predictions/spin_ts0_p3_regional_shift_inside.npz,58385c64aaf687bab07325c0d2d395772cd518320260be0104c5287e9086549f
mta,spin,0,3,regional shift,outside,473.29936254993169,249.55521391779669,154.42793466022005,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,473.28873867218277,527.47228132387693,-54.183542651694211,results_mta/coverage_matched_predictions/spin_ts0_p3_regional_shift_outside.npz,1c1cb8273799e87bd288319ce5e7c8db334df3b5707d201870e6e353810ca77e
mta,spin,0,4,regional shift,inside,169.30317219923825,243.52511163645917,152.6169901479139,65,66,0.8412481727836516,target_and_lag7_valid,19035,19040,169.28965910582983,212.31075695903365,-43.021097853203834,results_mta/coverage_matched_predictions/spin_ts0_p4_regional_shift_inside.npz,98a2d8f28c328375a1bd44235a61fb4b6be15dfe410a271d3ff440833498dea6
mta,spin,0,4,regional shift,outside,415.46107006829527,243.52511163645917,150.97627092231934,65,66,0.8412481727836516,target_and_lag7_valid,19035,19040,415.40494518119755,460.84603466386562,-45.441089482668126,results_mta/coverage_matched_predictions/spin_ts0_p4_regional_shift_outside.npz,42b6f83851d81a64d5f2c78b979abf3255e0260e9f232aba975a0064408be9b8
mta,spin,1,0,no shift,inside,558.68520718322816,993.22397476340689,615.58343963507525,65,66,0.8412481727836516,target_and_lag7_valid,19020,19032,558.64748926150696,567.12983396385039,-8.4823447023434255,results_mta/coverage_matched_predictions/spin_ts1_p0_no_shift_inside.npz,bb7cf510daf6fffef9b81dfebbca93a54c0cae0410d06bdb34993ab62761359f
mta,spin,1,0,no shift,outside,577.15035899710836,993.22397476340689,623.27623474511495,65,66,0.8412481727836516,target_and_lag7_valid,19020,19032,577.08493836039293,584.94384457755359,-7.8589062171605519,results_mta/coverage_matched_predictions/spin_ts1_p0_no_shift_outside.npz,22c35197241ca157b806a845897afc1003e6f24cdaa0977379a871c94acfb1c7
mta,spin,1,1,no shift,inside,541.98169199385052,946.07442447177561,638.72481956601712,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,542.01065061071711,550.03240740740739,-8.0217567966902834,results_mta/coverage_matched_predictions/spin_ts1_p1_no_shift_inside.npz,61724974bf227ec1a15194b043bccf34a99a26930107b1f554562edadc7c693f
mta,spin,1,1,no shift,outside,558.75731564700936,946.07442447177561,640.8436092925723,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,558.7605644208038,565.41987785658,-6.6593134357761983,results_mta/coverage_matched_predictions/spin_ts1_p1_no_shift_outside.npz,01647ff3c9ce3c08cf5afeeb9e3fa7ff43427a9e088fe0e1b928d5e0ce385c89
mta,spin,1,2,no shift,inside,616.8536507300804,1056.5591154997635,665.21950427652689,65,66,0.8412481727836516,target_and_lag7_valid,19039,19042,616.82549266095998,622.36704390295131,-5.5415512419914412,results_mta/coverage_matched_predictions/spin_ts1_p2_no_shift_inside.npz,06d8560830bb2e7163e6d93974c24243008689049be51857c38210236ed8edb8
mta,spin,1,2,no shift,outside,651.70596128341822,1056.5591154997635,670.7288228025842,65,66,0.8412481727836516,target_and_lag7_valid,19039,19042,651.67836312493432,656.65826856422643,-4.9799054392921116,results_mta/coverage_matched_predictions/spin_ts1_p2_no_shift_outside.npz,57ef7417f989b8051cc6bed84157459cb63d238787574bf4a12bd5f8beeb854c
mta,spin,1,3,no shift,inside,562.05834450226007,998.22085567118688,618.1920085298035,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,562.06828211189918,571.58907932755449,-9.5207972156553069,results_mta/coverage_matched_predictions/spin_ts1_p3_no_shift_inside.npz,e6823c0f19d3de586a1d25d91619351bf9444054f46c6d7cc8e4999fb6333cb3
mta,spin,1,3,no shift,outside,559.77558423341748,998.22085567118688,617.71818118853855,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,559.79374261229316,567.25003283425269,-7.4562902219595344,results_mta/coverage_matched_predictions/spin_ts1_p3_no_shift_outside.npz,577e68287a51cd506c64fd5baa6dc6a641cf4a0c1bfea94f696ea81a85d333db
mta,spin,1,4,no shift,inside,571.4117817507223,974.10044654583646,610.53154901284825,65,66,0.8412481727836516,target_and_lag7_valid,19035,19040,571.36056903230042,578.47541360294122,-7.1148445706407983,results_mta/coverage_matched_predictions/spin_ts1_p4_no_shift_inside.npz,320109ffe5cf3f9a54abd9aeddbe58ceeb2bd3dc107960276859a28e99771781
mta,spin,1,4,no shift,outside,559.92485717100078,974.10044654583646,603.90173912763157,65,66,0.8412481727836516,target_and_lag7_valid,19035,19040,559.84648437500005,569.42318146008404,-9.5766970850839925,results_mta/coverage_matched_predictions/spin_ts1_p4_no_shift_outside.npz,80b03f8c4a3488757861f52f0b5c43189cf5b0d1afdfb3bbaee69cb9de50d9b6
mta,spin,1,0,regional shift,inside,275.75992787197686,248.30599369085169,153.8801707664139,65,66,0.8412481727836516,target_and_lag7_valid,19020,19032,275.80587218237707,269.2818246899958,6.5240474923812712,results_mta/coverage_matched_predictions/spin_ts1_p0_regional_shift_inside.npz,0d8de995cac9934e0e6bd8b408310c15a5bc8d00a985f52c304f8426a7d70652
mta,spin,1,0,regional shift,outside,661.46388998422708,248.30599369085169,155.82280772812058,65,66,0.8412481727836516,target_and_lag7_valid,19020,19032,661.29279305905845,605.76950662042873,55.523286438629725,results_mta/coverage_matched_predictions/spin_ts1_p0_regional_shift_outside.npz,951aabe79e6773adb12f3fc7ef28af937e930a486885af7cf854b113a274c9d7
mta,spin,1,1,regional shift,inside,260.74258169741404,236.51860611794388,159.65467919311348,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,260.83183362884159,254.37752495403203,6.4543086748095684,results_mta/coverage_matched_predictions/spin_ts1_p1_regional_shift_inside.npz,f51a0d242b4d1bb29f27a95c75a0e17edd60c8958768f27d891e9d540c874430
mta,spin,1,1,regional shift,outside,610.0370849429728,236.51860611794388,160.21150760772235,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,609.94754481875498,562.77403467297086,47.173510145784121,results_mta/coverage_matched_predictions/spin_ts1_p1_regional_shift_outside.npz,8dfe092b78fc569f0bc94e8add179b833b1879a8b36f5596aa1c3a5d69f69d25
mta,spin,1,2,regional shift,inside,313.47128427175795,264.13977887494093,166.27817808148609,65,66,0.8412481727836516,target_and_lag7_valid,19039,19042,313.46530695305114,304.92398382522845,8.5413231278226931,results_mta/coverage_matched_predictions/spin_ts1_p2_regional_shift_inside.npz,1fef7b137b58e06eaa9ce5c9099b0af47ac9412eb441948b7e4f6191704bfefd
