dataset,model,train_seed,placement_seed,shift,coverage,MAE,snaive7,common_mode,n_target,n_observed,realised_shift
mta,spin,0,0,no shift,inside,719.7586104981084,993.2239747634068,615.5834396350751,65,66,0.8412481727836516
mta,spin,0,0,no shift,outside,754.807777690206,993.2239747634068,623.276234745115,65,66,0.8412481727836516
mta,spin,0,1,no shift,inside,685.4378250591017,946.0744244717756,638.7248195660171,65,66,0.8412481727836516
mta,spin,0,1,no shift,outside,725.8123194116102,946.0744244717756,640.8436092925723,65,66,0.8412481727836516
mta,spin,0,2,no shift,inside,781.343608864615,1056.5591154997635,665.2195042765269,65,66,0.8412481727836516
mta,spin,0,2,no shift,outside,835.6814541539754,1056.5591154997635,670.7288228025842,65,66,0.8412481727836516
mta,spin,0,3,no shift,inside,730.7508142894668,998.2208556711868,618.1920085298035,65,66,0.8412481727836516
mta,spin,0,3,no shift,outside,724.4829458891516,998.2208556711868,617.7181811885386,65,66,0.8412481727836516
mta,spin,0,4,no shift,inside,716.7030462184874,974.1004465458366,610.5315490128482,65,66,0.8412481727836516
mta,spin,0,4,no shift,outside,717.4165835084034,974.1004465458366,603.9017391276316,65,66,0.8412481727836516
mta,spin,0,0,regional shift,inside,207.7141524800336,248.3059936908517,153.8801707664139,65,66,0.8412481727836516
mta,spin,0,0,regional shift,outside,498.46327895124,248.3059936908517,155.82280772812058,65,66,0.8412481727836516
mta,spin,0,1,regional shift,inside,197.5535526661413,236.51860611794388,159.65467919311348,65,66,0.8412481727836516
mta,spin,0,1,regional shift,outside,481.70717756763855,236.51860611794388,160.21150760772235,65,66,0.8412481727836516
mta,spin,0,2,regional shift,inside,215.36857998109443,264.13977887494093,166.2781780814861,65,66,0.8412481727836516
mta,spin,0,2,regional shift,outside,566.6209825648566,264.13977887494093,167.68460021856967,65,66,0.8412481727836516
mta,spin,0,3,regional shift,inside,193.978482072498,249.5552139177967,154.531490233714,65,66,0.8412481727836516
